,XK CONVERTIBLE PORTFOLIO,13685400,;
,XK SUPERCHARGED COUPE R,14189900,;
,XK SUPERCHARGED CONVERTIBLE R,15138500,;
,XF V6 LUXURY,6415250,;
,XF V6 PREMIUM LUXURY,7292700,;
,XF V6 LUXURY,6818580,;
,XF V6 S PREMIUM LUXURY,8087300,;
,XF V6 PORTFOLIO,8656300,;
,XF V8 PREMIUM LUXURY,9157470,;
,XF V8 PORTFOLIO,9750340,;
,XF V8 SUPERCHARGED R,11494600,JAGUAR:;
JEEP:;,JEEP COMMANDER,7076250,;
,JEEP CHEROKEE KK,4812500,;
,JEEP CHEROKEE 2.8 SPORT 5 SPEED AUTO,5175250,;
,JEEP GRAND CHEROKEE ?OVERLAND? 3.0L FOUR WHEEL DRIVE COMMON ,4849250,;
,JEEP GRAND CHEROKEE ?OVERLAND? 2.8L FOUR WHEEL DRIVE CRD LTD,5684620,;
,JEEP GRAND CHEROKEE ?OVERLAND? 3.0L FOUR WHEEL DRIVE CDI  6 ,7457250,;
,JEEP WRANGLER SAHARA 2 DOOR FOUR WHEEL DRIVE COMMON RAIL DIE,5012250,;
,JEEP WRANGLER 4 DOOR FOUR WHEEL DRIVE COMMON RAIL DIESEL INJ,5175250,;
,JEEP GRAND CHEROKEE CHRYSLER,7480000,JEEP:;
KIA:;,CERATO 1.6,2100000,;
,K2700,1350000,;
,RIO 1.3 RS,1150000,;
,RIO 1.4,1320000,;
,RIO 1.5 LS,1400000,;
,SORENTO XM 2.2 A/T,4050000,;
,SORENTO 2.5 D M/T,3750000,;
,SORENTO 2.4 XM A/T,3850000,;
,SPORTAGE 2.0 M/T,2850000,;
,SPORTAGE 2.0 M/T,3000000,;
,SPORTAGE 2.0 A/T,3100000,;
,SPORTAGE 2.0 A/T,3200000,;
,KIA K2700 DSL DROPSIDE BODY,1650000,;
,KIA K2700 DSL CAB AND CHASSIS,1425000,;
,KIA K2700 DSL HIGH DECK,1675000,;
,SHUMA 1.6 LS,1650000,;
,CARENS,2100000,;
,PICANTO 1.1L,1235000,;
,CARNIVAL 2.7L,3025000,;
,SEDONA LE KNEUP75,4112310,KIA:;
ROVER:;,DEFENDER 110 TD4 - CC,3700000,;
,DEFENDER 110 TD4 FBU,4200000,;
,DEFENDER 110 TD4 - P/UP,3750000,;
,DEFENDER 110 TDI - PU(FBU),3850000,;
,DEFENDER 110 TDI - SW(FBU),4700000,;
,DEFENDER 110 TDI - SAFARIWAGON,4135000,;
,DEFENDER 110 TDI - CC(CKD),3300000,;
,DEFENDER 110 TDI - PU(CKD),3450000,;
,DEFENDER 110 TDI - SW(CKD),4200000,;
,DEFENDER 130 TDI - SW(CKD),5300000,;
,DEFENDER TD4 SAFARIWAGON,4500000,;
,DEFENDER TD4 FBU,5200000,;
,DEFENDER TD4 P/UP FBU,3950000,;
,DEFENDER TD4 GAMEVIEWER,4200000,;
,FREELANDER 5DR 2.0L DIESEL,4400000,;
,FREELANDER 5DR 2.0L AUTO(II'E'),4900000,;
,FREELANDER 2.2D 5DR E,4750000,;
,FREELANDER 2.2D 5DR S,4800000,;
,FREELANDER 2.2D 5DR SE,5700000,;
,FREELANDER 2.2D 5DR HSE,5900000,;
,FREELANDER 2.0 KV6,4100000,;
,FREELANDER 2.5 KV6,5125000,;
,DISCOVERY TD5 (7 SEATS),4980000,;
,DISCOVERY ES V8 (7 SEATS),10500000,;
,NEW DISCOVERY III - SE (MANUAL),8300000,;
,DISCOVERY III TDV6 S SPECIAL,7300000,;
,DISCOVERY III TDV6 HSE,9500000,;
,NEW DISCOVERY 2.7L TDV6 S,6900000,;
,NEW DISCOVERY 2.7L V6 PE SE HIGH SPEC,8300000,;
,NEW DISCOVERY 2.7L TDV6 HSE,10200000,;
,NEW DISCOVERY 4.0L V6 PE SE,8300000,;
,NEW DISCOVERY 4.4L V8 PE HSE,11000000,;
,NEW RANGE ROVER 3.0L DIESEL,12680000,;
,NEW RANGE ROVER 4.4 L V8 PETROL,15600000,;
,NEW RANGE ROVER MODEL 2006,15500000,;
,NEW RANGE ROVER 3.6L TDV8 HSE,14500000,;
,NEW RANGE ROVER 3.6L TDV8 VOGUE,15000000,;
